Date,Rank,Primary Key,Name,Symbol,Market Cap,Price,Circulating Supply,Snapshot Type,Is Stable
2026-04-07,1,BTCBitcoin,Bitcoin,BTC,1368850088617.0,68391.0,20012600.0,live,False
2026-04-07,2,ETHEthereum,Ethereum,ETH,251861530240.0,2086.59,120691190.9080014,live,False
2026-04-07,3,USDTTether,Tether,USDT,184147496106.0,0.999978,184151480311.9992,live,True
2026-04-07,4,BNBBNB,BNB,BNB,81595958917.0,598.35,136356807.02,live,False
2026-04-07,5,XRPXRP,XRP,XRP,80343820702.0,1.31,61405531717.0,live,False
2026-04-07,6,USDCUSDC,USDC,USDC,77916316129.0,1.0,77917146752.68051,live,True
2026-04-07,7,SOLSolana,Solana,SOL,45361984765.0,79.08,573589660.7308979,live,False
2026-04-07,8,TRXTRON,TRON,TRX,29777924944.0,0.314184,94769158821.7056,live,False
2026-04-07,10,DOGEDogecoin,Dogecoin,DOGE,13932756301.0,0.090633,153729456383.7052,live,False
2026-04-07,14,ADACardano,Cardano,ADA,8936005786.0,0.242334,36883638424.61484,live,False
